epoch	d_loss	g_loss
1	1.7889257669448853	1.7424426078796387
2	0.4483637809753418	3.294611930847168
3	0.45614489912986755	3.253363609313965
4	0.5209667682647705	3.4682469367980957
5	0.35009175539016724	2.2721686363220215
6	0.46869927644729614	3.945145845413208
7	1.018723487854004	6.656184196472168
8	0.5667620897293091	1.9369103908538818
9	0.6337923407554626	3.3658134937286377
10	0.7157401442527771	1.2582300901412964
11	0.5634356141090393	1.7523760795593262
12	0.7799884080886841	1.385105848312378
13	0.835352897644043	1.8967288732528687
14	0.9498143196105957	0.8591316342353821
15	0.8417655229568481	1.3748544454574585
16	1.3089956045150757	2.421548843383789
17	0.904030442237854	0.8852696418762207
18	1.235664963722229	2.4992477893829346
19	0.9598064422607422	1.1554787158966064
20	0.992266058921814	1.498173713684082
21	1.0698338747024536	0.831204354763031
22	0.9462636113166809	0.9653908014297485
23	1.3151311874389648	1.9458667039871216
24	1.089823603630066	0.5299776196479797
25	1.0074856281280518	0.9384781718254089
26	1.0060410499572754	1.1567953824996948
27	0.9853223562240601	1.8129194974899292
28	0.9463111162185669	1.296756386756897
29	1.0244908332824707	0.7587578296661377
30	1.0016685724258423	1.153949499130249
31	1.3446927070617676	2.1337366104125977
32	0.8869473934173584	1.3618783950805664
33	1.0476821660995483	1.924230933189392
34	1.2855689525604248	2.430983066558838
35	0.9393946528434753	1.1278789043426514
36	1.03270423412323	0.5959269404411316
37	0.9581912755966187	1.408130168914795
38	1.4666167497634888	1.9091930389404297
39	0.8632504343986511	1.3685327768325806
40	0.9083179831504822	1.2001628875732422
41	0.8964146375656128	1.515601396560669
42	0.8795526027679443	1.3683433532714844
43	0.8502579927444458	1.4428762197494507
44	1.4314993619918823	0.3238624334335327
45	0.9898560643196106	2.2785091400146484
46	1.136191964149475	1.9474260807037354
47	0.9282286167144775	1.5529814958572388
48	0.8173561692237854	1.3341426849365234
49	0.7854123115539551	1.7077758312225342
50	0.8649299740791321	1.6988208293914795
